source,target,regex,code
/best-experimental-fiction/,,0,410
/best-selling-cyberpunk-novels-in-2026/,,0,410
/best-selling-alternative-science-fiction-novels-in-2025/,,0,410
/best-selling-humorous-science-fiction-novels-in-2025/,,0,410
/top-psychological-horror-novels-2/,,0,410
/best-selling-space-opera-novels-in-2025/,,0,410
/best-selling-military-science-fiction-novels-in-2026/,,0,410
/best-selling-humorous-science-fiction-novels-in-2026/,,0,410
/best-selling-horror-suspense-novels-in-2026/,,0,410
/best-selling-first-contact-science-fiction-novels-in-2026/,,0,410
/best-alien-invasion-science-fiction-novels/,,0,410
/best-selling-anthologies-short-stories-science-fiction-novels-in-2025/,,0,410
/best-selling-first-contact-science-fiction-novels-in-2025/,,0,410
/best-selling-metaphysical-visionary-science-fiction-novels-in-2025/,,0,410
/best-selling-time-travel-science-fiction-novels-in-2025/,,0,410
/best-steampunk-science-fiction-novels-in-2025/,,0,410
/best-fantasy-ya-novels/,,0,410
/dystopian-ya-novels-2000s/,,0,410
/best-military-science-fiction-novels/,,0,410
/best-crime-novels-set-in-las-vegas/,/author-guides/,0,301
/best-crime-novels-set-in-detroit/,/author-guides/,0,301
/best-crime-novels-set-in-baltimore/,/author-guides/,0,301
/best-crime-novels-set-in-atlanta/,/author-guides/,0,301
/best-selling-cult-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-stalker-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-revenge-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-pharmaceutical-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-disaster-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-wilderness-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-survival-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-climate-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-pandemic-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-biotech-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-ai-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-cybercrime-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-slow-burn-romance-novels-in-2026/,,0,410
/best-selling-fake-dating-romance-novels-in-2026/,,0,410
/best-selling-marriage-of-convenience-romance-novels-in-2026/,,0,410
/best-selling-military-romance-novels-in-2026/,,0,410
/best-selling-cowboy-romance-novels-in-2026/,,0,410
/best-selling-billionaire-romance-novels-in-2026/,,0,410
/best-selling-second-chance-romance-novels-in-2026/,,0,410
/best-selling-friends-to-lovers-romance-novels-in-2026/,,0,410
/best-selling-enemies-to-lovers-romance-novels-in-2026/,,0,410
/best-selling-small-town-romance-novels-in-2026/,,0,410
/best-selling-sports-romance-novels-in-2026/,,0,410
/best-selling-paranormal-romance-novels-in-2026/,,0,410
/best-selling-regency-romance-novels-in-2026/,,0,410
/best-selling-historical-romance-novels-in-2026/,,0,410
/best-selling-contemporary-romance-novels-in-2026/,,0,410
/best-selling-romantic-suspense-novels-in-2026/,/author-guides/,0,301
/best-selling-dark-academia-novels-in-2026/,/author-guides/,0,301
/best-selling-haunted-house-novels-in-2026/,/author-guides/,0,301
/best-selling-ghost-story-novels-in-2026/,/author-guides/,0,301
/best-selling-vampire-fiction-novels-in-2026/,,0,410
/best-selling-gothic-horror-novels-in-2026/,,0,410
/best-selling-folk-horror-novels-in-2026/,,0,410
/best-selling-cosmic-horror-novels-in-2026/,,0,410
/best-selling-climate-fiction-novels-in-2026/,/author-guides/,0,301
/best-selling-steampunk-novels-in-2026/,,0,410
/best-selling-solarpunk-novels-in-2026/,/author-guides/,0,301
/best-selling-cosy-fantasy-novels-in-2026/,,0,410
/best-selling-romantasy-novels-in-2026/,,0,410
/best-selling-women-sleuth-mystery-novels-in-2026/,/author-guides/,0,301
/best-selling-traditional-detective-mystery-novels-in-2026/,/author-guides/,0,301
/best-selling-time-travel-science-fiction-novels-in-2026/,,0,410
/best-selling-terrorism-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-technothriller-novels-in-2026/,/author-guides/,0,301
/best-selling-space-opera-novels-in-2026/,,0,410
/best-selling-space-exploration-science-fiction-novels-in-2026/,,0,410
/best-selling-science-fiction-novels-in-2026/,,0,410
/best-selling-psychological-suspense-novels-in-2026/,/author-guides/,0,301
/best-selling-private-investigator-mystery-novels-in-2026/,/author-guides/,0,301
/best-selling-post-apocalyptic-science-fiction-novels-in-2026/,,0,410
/best-selling-political-suspense-novels-in-2026/,/author-guides/,0,301
/best-selling-paranormal-suspense-novels-in-2026/,,0,410
/best-selling-organized-crime-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-occult-suspense-novels-in-2026/,,0,410
/best-selling-noir-crime-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-mystery-series-fiction-novels-in-2026/,/author-guides/,0,301
/best-selling-murder-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-metaphysical-visionary-science-fiction-novels-in-2026/,,0,410
/best-selling-lgbtq-mystery-novels-in-2026/,/author-guides/,0,301
/best-selling-lgbtq-fiction-novels-in-2026/,/author-guides/,0,301
/best-selling-kidnapping-crime-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-international-mystery-crime-novels-in-2026/,/author-guides/,0,301
/best-selling-heist-crime-novels-in-2026/,/author-guides/,0,301
/best-selling-hard-science-fiction-novels-in-2026/,,0,410
/best-selling-hard-boiled-mystery-novels-in-2026/,/author-guides/,0,301
/best-selling-genetic-engineering-science-fiction-novels-in-2026-2/,,0,410
/best-selling-genetic-engineering-science-fiction-novels-in-2026/,,0,410
/best-selling-galactic-empire-science-fiction-novels-in-2026/,,0,410
/best-selling-epic-fantasy-novels-in-2026/,,0,410
/best-selling-dystopian-science-fiction-novels-in-2026/,,0,410
/best-selling-domestic-thriller-novels-in-2026/,/author-guides/,0,301
/best-selling-colonization-science-fiction-novels-in-2026/,,0,410
/best-selling-classic-science-fiction-novels-in-2026/,,0,410
/best-selling-amateur-sleuth-mystery-novels-in-2026/,/author-guides/,0,301
/best-selling-alternative-science-fiction-novels-in-2026/,,0,410
/best-selling-alien-invasion-science-fiction-novels-in-2026/,,0,410
/best-selling-adventure-science-fiction-novels-in-2026/,,0,410
/best-crime-fiction-authors-for-one-sitting-reads/,/author-guides/,0,301
/best-fast-paced-thriller-authors-of-the-modern-era/,/author-guides/,0,301
/best-slow-burn-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-irish-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-latin-american-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-indian-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-south-african-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-russian-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-japanese-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-italian-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-german-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-french-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-translated-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-bestselling-crime-fiction-authors-of-the-last-decade/,/author-guides/,0,301
/best-davitt-award-winning-australian-crime-authors/,/author-guides/,0,301
/best-ned-kelly-award-winning-crime-authors/,/author-guides/,0,301
/best-booker-prize-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-theakston-old-peculier-winning-authors-worth-reading/,/author-guides/,0,301
/best-edgar-award-winning-crime-authors-worth-reading/,/author-guides/,0,301
/best-cwa-dagger-award-winning-authors-worth-reading/,/author-guides/,0,301
/best-pulp-fiction-crime-authors-worth-reading/,/author-guides/,0,301
/best-1960s-spy-fiction-authors-worth-reading/,/author-guides/,0,301
/best-1950s-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-1940s-noir-authors-worth-reading/,/author-guides/,0,301
/best-1930s-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-1920s-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-ancient-egypt-mystery-authors-worth-reading/,/author-guides/,0,301
/best-ancient-rome-mystery-authors-worth-reading/,/author-guides/,0,301
/best-medieval-mystery-authors-worth-reading/,/author-guides/,0,301
/best-tudor-era-mystery-authors-worth-reading/,/author-guides/,0,301
/best-regency-era-mystery-authors-worth-reading/,/author-guides/,0,301
/best-edwardian-era-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-1980s-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-post-war-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-crime-fiction-authors-of-the-golden-age/,/author-guides/,0,301
/best-crime-fiction-authors-of-the-2020s/,/author-guides/,0,301
/best-crime-fiction-authors-of-the-2010s/,/author-guides/,0,301
/best-crime-fiction-authors-of-the-2000s/,/author-guides/,0,301
/best-crime-fiction-authors-of-the-1990s/,/author-guides/,0,301
/best-eco-thriller-authors-of-the-last-twenty-years/,/author-guides/,0,301
/best-folk-horror-crime-authors-worth-reading/,,0,410
/best-occult-thriller-authors-of-the-modern-era/,,0,410
/best-vatican-thriller-authors-worth-reading/,/author-guides/,0,301
/best-religious-thriller-authors-worth-reading/,/author-guides/,0,301
/best-dog-detective-authors-worth-reading/,/author-guides/,0,301
/best-cat-detective-authors-worth-reading/,/author-guides/,0,301
/best-culinary-mystery-authors-worth-reading/,/author-guides/,0,301
/best-bookshop-mystery-authors-worth-reading/,/author-guides/,0,301
/best-village-mystery-authors-worth-reading/,/author-guides/,0,301
/best-cosy-crime-authors-working-today/,/author-guides/,0,301
/best-inverted-mystery-authors-worth-reading/,/author-guides/,0,301
/best-howcatchem-authors-worth-reading/,/author-guides/,0,301
/best-whodunit-authors-worth-reading/,/author-guides/,0,301
/best-closed-circle-mystery-authors-of-the-modern-era/,/author-guides/,0,301
/best-locked-room-mystery-authors-worth-reading/,/author-guides/,0,301
/best-wilderness-thriller-authors-worth-reading/,/author-guides/,0,301
/best-survival-thriller-authors-of-the-modern-era/,/author-guides/,0,301
/best-disaster-thriller-authors-worth-reading/,/author-guides/,0,301
/best-pandemic-thriller-authors-worth-reading/,/author-guides/,0,301
/best-biotech-thriller-authors-of-the-modern-era/,/author-guides/,0,301
/best-pharmaceutical-thriller-authors-worth-reading/,/author-guides/,0,301
/best-hacker-fiction-authors-worth-reading/,/author-guides/,0,301
/best-cybercrime-thriller-authors-worth-reading/,/author-guides/,0,301
/best-tech-thriller-authors-of-the-modern-era/,/author-guides/,0,301
/best-climate-fiction-authors-of-the-modern-era/,/author-guides/,0,301
/best-ecological-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-antiquities-theft-fiction-authors-worth-reading/,/author-guides/,0,301
/best-art-crime-fiction-authors-worth-reading/,/author-guides/,0,301
/best-mafia-fiction-authors-worth-reading/,/author-guides/,0,301
/best-cartel-fiction-authors-of-the-modern-era/,/author-guides/,0,301
/best-heist-fiction-authors-worth-reading/,/author-guides/,0,301
/best-suburban-noir-authors-worth-reading/,/author-guides/,0,301
/best-rural-noir-authors-of-the-modern-era/,/author-guides/,0,301
/best-mediterranean-noir-authors-worth-reading/,/author-guides/,0,301
/best-country-noir-authors-worth-reading/,/author-guides/,0,301
/best-grip-lit-authors-of-the-modern-era/,/author-guides/,0,301
